oid,tid,sid,meanra,meandec,sigmara,sigmadec,firstmjd,lastmjd,deltamjd,n_det,n_forced,n_non_det,created_date,updated_date,classifier_id,classifier_version,class_id,probability,ranking
170032918270836824,1,1,187.4452866958818,8.000623528057329,2.7931700410761983e-05,4.423005936737369e-05,61091.24006631807,61098.18834962076,6.948283302692289,10,286,0,2026-02-20,2026-02-27,1,201,0,0.99472225,1
313629129605382159,1,1,10.581968026998377,-45.27840628376221,8.511238965942793e-07,8.603277381935349e-07,60973.16974544763,61058.06514392573,84.89539847809647,56,0,0,2026-02-13,2026-02-24,1,201,0,0.9947069,1
170032925073997933,1,1,186.6997744701343,7.671550597849905,2.330104068805589e-07,2.4984582617963354e-07,61090.26710384847,61095.2185456929,4.951441844430519,99,172,0,2026-02-20,2026-02-24,1,201,0,0.99420977,1
170028528638623791,1,1,186.42304224793293,7.229385636523226,4.071018443590292e-06,4.2394089713032235e-06,61090.25679239822,61095.21468482468,4.957892426456965,10,178,0,2026-02-20,2026-02-24,1,201,0,0.9941334,1
170032922799112317,1,1,186.6946690205097,7.91859289735827,8.709620860398324e-06,8.783255020270636e-06,61090.33241178416,61095.194370831836,4.861959047673736,12,126,0,2026-02-20,2026-02-24,1,201,0,0.9933469,1
170019696272736349,1,1,61.497111280163075,-49.245787484631286,3.787772458977988e-07,3.6817363589472016e-07,61088.098045202045,61101.03054724764,12.932502045594447,454,492,0,2026-02-17,2026-03-02,1,201,0,0.99312675,1
170028526740701203,1,1,186.9101108057379,8.014844019201309,2.329280598966036e-07,2.502882710508106e-07,61090.2484597937,61098.24137255241,7.992912758709281,387,570,0,2026-02-19,2026-02-27,1,201,0,0.9929369,1
170028538061652034,1,1,187.07778513592942,8.72942904374386,3.853028284250904e-05,6.45783843788777e-05,61090.33567374662,61095.19483766307,4.859163916451507,10,60,0,2026-02-20,2026-02-24,1,201,0,0.9925563,1
170028530398134302,1,1,186.7776586002007,6.426246965190947,1.2294962985645931e-05,9.504622797733664e-06,61090.2484597937,61095.21748577128,4.969025977581623,28,266,0,2026-02-20,2026-02-24,1,201,0,0.9922999,1
170028526579744777,1,1,185.02012103916982,7.815352225575959,1.1619635545975868e-07,1.2044352562193951e-07,61090.2484597937,61098.23217452125,7.983714727546612,391,509,0,2026-02-19,2026-02-27,1,201,0,0.9920414,1
313985346347466812,1,1,58.41223099762221,-50.07011982273708,2.228305757825615e-06,2.200522125870594e-06,61054.1511296438,61095.09443342907,40.94330378527229,12,179,0,2026-02-13,2026-02-24,1,201,0,0.99196,1
