tns_name,tns_redshift,mB_eff,e_mB_eff
2023rou,0.061,18.788641918989995,0.20740740438954042
2023rou,0.061,18.884370634245734,0.20399439756539142
2023rou,0.061,19.15483907803617,0.22319612940184577
2023rou,0.061,19.39243297859464,0.22007261110022036
2023rou,0.061,19.446704051478246,0.2035717674346346
2023rou,0.061,19.605680273373466,0.2148693555627547
2023rou,0.061,19.641965398770193,0.25396614006633494
2021abbg,0.0455,17.39137622778606,0.20514018979155205
2021abbg,0.0455,17.427818108576773,0.21560615841799868
2021abbg,0.0455,17.36411569134426,0.1941795929128703
2021abbg,0.0455,17.255536936251637,0.20163341218716857
2021abbg,0.0455,17.205785108576773,0.19564010864421907
2021abbg,0.0455,17.024798545577045,0.1897466695077283
2021abbg,0.0455,17.49817655885601,0.19355037428532101
2021abbg,0.0455,17.60846298936748,0.19733909403896244
2021abbg,0.0455,17.76038672439098,0.19480964121839534
2021abbg,0.0455,17.740134280600547,0.2071397853168149
2021abbg,0.0455,17.914635128645894,0.21822763598645137
2021abbg,0.0455,17.970985956622123,0.21553635090645148
2021abbg,0.0455,17.99251418825054,0.26600422160667875
2021jji,0.072,18.965344058078397,0.22048595732574258
2021jji,0.072,18.485129672988524,0.23367263218736067
2021jji,0.072,18.240517308871855,0.2021339588852862
2021jji,0.072,18.31074773289453,0.22507851135451484
2021jji,0.072,18.467495377074826,0.23376956211132224
2021jji,0.072,18.894818808419814,0.27491557979118886
2021jji,0.072,18.894822808419814,0.2749157016339007
2021jji,0.072,18.894822808419814,0.2749157016339007
2021jji,0.072,18.679346025333036,0.21774240124239466
2021jji,0.072,19.13637234629785,0.2313747727082445
2019lal,0.079,19.62305595049922,0.23340465883207562
2019lal,0.079,19.143019719531225,0.21372157282275792
2019lal,0.079,18.966171193123984,0.1947739380004457
2019lal,0.079,19.052116870645925,0.20318336251925198
2019lal,0.079,19.195991837599205,0.19875258633431198
2019lal,0.079,19.39544466413276,0.20211273293572918
2019lal,0.079,19.459324247381137,0.20903625732274747
2019iml,0.0498,19.46566702496613,0.2129547512163466
2019iml,0.0498,19.424324227754006,0.2421333748621131
2019iml,0.0498,18.47753652415503,0.18624768600852284
2019iml,0.0498,18.52202490575684,0.1883787011421482
2019iml,0.0498,17.989157950460324,0.1815283647337222
2019iml,0.0498,18.003504466172586,0.18173848245933982
2019iml,0.0498,17.820430010064968,0.1769933214480062
2019iml,0.0498,17.76526577164639,0.18152784195401936
2019iml,0.0498,17.73174177164639,0.18477828030301507
2019iml,0.0498,17.77535424848355,0.17907511664075615
2019iml,0.0498,17.809979428919682,0.18418388328577967
2019iml,0.0498,18.028129717870126,0.18345446147006983
2019iml,0.0498,17.98864176419581,0.192589999673123
2019iml,0.0498,18.229821473623165,0.1893162863943995
2019iml,0.0498,18.224271980262646,0.18202445872386705
2019iml,0.0498,18.43354663008536,0.19364460740066597
2019iml,0.0498,18.460294039867293,0.1849571062720626
2019iml,0.0498,18.535656108544718,0.18976541239802766
2019iml,0.0498,18.523082337890514,0.19075670360091374
2019iml,0.0498,18.761314548128972,0.19771295233893818
2019iml,0.0498,18.844943963739286,0.191954461825219
2019iml,0.0498,19.03223539749516,0.20392615418958124
2019iml,0.0498,19.031960980262646,0.20608655453242677
2019iml,0.0498,19.23922363915814,0.21662669753329947
2019iml,0.0498,19.343257337890513,0.2167789201498956
2022xad,0.059,19.26831807523378,0.20555906208040559
2022xad,0.059,18.60421572601827,0.23376164294136476
2022xad,0.059,18.406027252726876,0.22828375709397378
2022xad,0.059,18.230475870766007,0.19207549829039286
2022xad,0.059,18.22357444025453,0.1942005347302555
2022xad,0.059,18.44653057081922,0.21827265579696298
2022xad,0.059,18.559285822818122,0.1918769452783735
2022xad,0.059,18.69999433564504,0.21808616517585014
2022xad,0.059,18.795517625557267,0.22964280178679958
2022xad,0.059,18.80309915713247,0.2007753141560055
2022xad,0.059,19.061018587643943,0.21122081050239822
2022xad,0.059,19.1003693262132,0.21065537381330288
2021ohp,0.064,19.0075438630857,0.2258781830281533
2021ohp,0.064,18.52033571569629,0.1889043627867634
2021ohp,0.064,18.325750669370606,0.19016736703534842
2021ohp,0.064,18.046303924312546,0.18823697329249872
2021ohp,0.064,17.968880861463504,0.22819054365581112
2021ohp,0.064,18.199016447475387,0.211743813851862
2021ohp,0.064,18.54815183490558,0.21329297861413585
2021ohp,0.064,18.661690596487002,0.19671365119750603
2021nlj,0.089,20.493131486456257,0.3791367222634917
2021nlj,0.089,19.362047094819886,0.23162158439959546
2021nlj,0.089,19.108414370491367,0.1948552440295394
2021nlj,0.089,18.79359175954376,0.1901904667577324
2021nlj,0.089,18.73927867013679,0.1933559684121015
2021nlj,0.089,18.795706783517698,0.19165694552489193
2021nlj,0.089,18.866383564206462,0.18720851434758376
2021nlj,0.089,18.98172503683744,0.19609939291246276
2021nlj,0.089,19.454637723913056,0.2660739920064816
2021nlj,0.089,19.511259120416025,0.21216750778313923
2021kwk,0.08,20.12599350201934,0.3121648568270159
2021kwk,0.08,19.574267181285318,0.24556802478051035
2021kwk,0.08,19.57430718128532,0.24556784232886386
2021kwk,0.08,19.57430718128532,0.24556784232886386
2021kwk,0.08,19.031068555436548,0.20676320521386538
2021kwk,0.08,18.863891403180535,0.1996603369041036
2021kwk,0.08,18.515143476064143,0.18649022664852075
2021kwk,0.08,18.495547651633675,0.18980752563779085
2021kwk,0.08,18.586244873528894,0.1908822667678851
2021kwk,0.08,18.69522578736633,0.20093502647209924
